country,prompt,word_count,token_count,Responce Time,No of VMs
Antigua and Barbuda,What is the capital of Antigua and Barbuda?,8,9,1499.495029449463,4
Bosnia and Herzegovina,What is the capital of Bosnia and Herzegovina?,8,9,915.0030612945557,4
Central African Republic,What is the capital of Central African Republic?,8,9,912.5940799713135,4
Eswatini,What is the capital of Eswatini?,6,9,908.8773727416992,4
Micronesia,What is the capital of Micronesia?,6,9,1131.3791275024414,4
Papua New Guinea,What is the capital of Papua New Guinea?,8,9,908.5075855255127,4
Trinidad and Tobago,What is the capital of Trinidad and Tobago?,8,9,927.483320236206,4
United Arab Emirates,What is the capital of United Arab Emirates?,8,9,1128.8073062896729,4
State of Palestine,What is the capital of State of Palestine?,8,9,1121.570348739624,4
Afghanistan,What is the year of independence of Afghanistan?,8,9,898.9737033843994,4
Albania,What is the year of independence of Albania?,8,9,910.5501174926758,4
Algeria,What is the year of independence of Algeria?,8,9,890.4221057891846,4
Andorra,What is the year of independence of Andorra?,8,9,892.9927349090576,4
Angola,What is the year of independence of Angola?,8,9,892.6010131835938,4
Argentina,What is the year of independence of Argentina?,8,9,899.8045921325684,4
Armenia,What is the year of independence of Armenia?,8,9,891.4022445678711,4
Australia,What is the year of independence of Australia?,8,9,889.6839618682861,4
Austria,What is the year of independence of Austria?,8,9,893.397331237793,4
Azerbaijan,What is the year of independence of Azerbaijan?,8,9,891.2384510040283,4
Bahamas,What is the year of independence of Bahamas?,8,9,894.4189548492432,4
Bahrain,What is the year of independence of Bahrain?,8,9,904.0770530700684,4
Bangladesh,What is the year of independence of Bangladesh?,8,9,891.7531967163086,4
Barbados,What is the year of independence of Barbados?,8,9,914.1652584075928,4
Belarus,What is the year of independence of Belarus?,8,9,898.2365131378174,4
Belgium,What is the year of independence of Belgium?,8,9,895.5438137054443,4
Belize,What is the year of independence of Belize?,8,9,888.1840705871582,4
Benin,What is the year of independence of Benin?,8,9,889.8308277130127,4
Bhutan,What is the year of independence of Bhutan?,8,9,890.1064395904541,4
Bolivia,What is the year of independence of Bolivia?,8,9,888.1161212921143,4
Botswana,What is the year of independence of Botswana?,8,9,884.620189666748,4
Brazil,What is the year of independence of Brazil?,8,9,889.6317481994629,4
Brunei,What is the year of independence of Brunei?,8,9,898.9574909210205,4
Bulgaria,What is the year of independence of Bulgaria?,8,9,896.6922760009766,4
Burundi,What is the year of independence of Burundi?,8,9,897.5446224212646,4
Cambodia,What is the year of independence of Cambodia?,8,9,890.730619430542,4
Cameroon,What is the year of independence of Cameroon?,8,9,886.615514755249,4
Canada,What is the year of independence of Canada?,8,9,887.4702453613281,4
Chad,What is the year of independence of Chad?,8,9,890.89035987854,4
Chile,What is the year of independence of Chile?,8,9,886.4200115203857,4
China,What is the year of independence of China?,8,9,882.6375007629395,4
Colombia,What is the year of independence of Colombia?,8,9,885.7758045196533,4
Croatia,What is the year of independence of Croatia?,8,9,885.8873844146729,4
Cuba,What is the year of independence of Cuba?,8,9,888.0228996276855,4
Cyprus,What is the year of independence of Cyprus?,8,9,887.6383304595947,4
Denmark,What is the year of independence of Denmark?,8,9,888.4615898132324,4
Djibouti,What is the year of independence of Djibouti?,8,9,889.3551826477051,4
Dominica,What is the year of independence of Dominica?,8,9,892.3542499542236,4
Ecuador,What is the year of independence of Ecuador?,8,9,902.2865295410156,4
Egypt,What is the year of independence of Egypt?,8,9,885.1432800292969,4
Eritrea,What is the year of independence of Eritrea?,8,9,890.4914855957031,4
Estonia,What is the year of independence of Estonia?,8,9,891.1714553833008,4
Ethiopia,What is the year of independence of Ethiopia?,8,9,886.4316940307617,4
Fiji,What is the year of independence of Fiji?,8,9,882.6937675476074,4
Finland,What is the year of independence of Finland?,8,9,893.5396671295166,4
France,What is the year of independence of France?,8,9,898.6473083496094,4
Gabon,What is the year of independence of Gabon?,8,9,885.0283622741699,4
