country,prompt,word_count,token_count,Responce Time,No of VMs
Antigua and Barbuda,What is the capital of Antigua and Barbuda?,8,9,1134.6755027770996,3
Bosnia and Herzegovina,What is the capital of Bosnia and Herzegovina?,8,9,887.1195316314697,3
Central African Republic,What is the capital of Central African Republic?,8,9,889.0862464904785,3
Eswatini,What is the capital of Eswatini?,6,9,888.0500793457031,3
Micronesia,What is the capital of Micronesia?,6,9,1096.9040393829346,3
Papua New Guinea,What is the capital of Papua New Guinea?,8,9,872.3275661468506,3
Trinidad and Tobago,What is the capital of Trinidad and Tobago?,8,9,877.8862953186035,3
United Arab Emirates,What is the capital of United Arab Emirates?,8,9,1087.6281261444092,3
State of Palestine,What is the capital of State of Palestine?,8,9,1084.885597229004,3
Afghanistan,What is the year of independence of Afghanistan?,8,9,878.636360168457,3
Albania,What is the year of independence of Albania?,8,9,869.0962791442871,3
Algeria,What is the year of independence of Algeria?,8,9,869.5406913757324,3
Andorra,What is the year of independence of Andorra?,8,9,865.8313751220703,3
Angola,What is the year of independence of Angola?,8,9,871.084451675415,3
Argentina,What is the year of independence of Argentina?,8,9,868.2591915130615,3
Armenia,What is the year of independence of Armenia?,8,9,872.4474906921387,3
Australia,What is the year of independence of Australia?,8,9,871.4399337768555,3
Austria,What is the year of independence of Austria?,8,9,876.5184879302979,3
Azerbaijan,What is the year of independence of Azerbaijan?,8,9,865.4799461364746,3
Bahamas,What is the year of independence of Bahamas?,8,9,864.6194934844971,3
Bahrain,What is the year of independence of Bahrain?,8,9,864.8185729980469,3
Bangladesh,What is the year of independence of Bangladesh?,8,9,869.640588760376,3
Barbados,What is the year of independence of Barbados?,8,9,864.1712665557861,3
Belarus,What is the year of independence of Belarus?,8,9,870.2206611633301,3
Belgium,What is the year of independence of Belgium?,8,9,863.9273643493652,3
Belize,What is the year of independence of Belize?,8,9,868.9348697662354,3
Benin,What is the year of independence of Benin?,8,9,862.9152774810791,3
Bhutan,What is the year of independence of Bhutan?,8,9,873.441219329834,3
Bolivia,What is the year of independence of Bolivia?,8,9,861.6087436676025,3
Botswana,What is the year of independence of Botswana?,8,9,867.9342269897461,3
Brazil,What is the year of independence of Brazil?,8,9,867.6230907440186,3
Brunei,What is the year of independence of Brunei?,8,9,866.4302825927734,3
Bulgaria,What is the year of independence of Bulgaria?,8,9,867.5765991210938,3
Burundi,What is the year of independence of Burundi?,8,9,868.2446479797363,3
Cambodia,What is the year of independence of Cambodia?,8,9,873.7258911132812,3
Cameroon,What is the year of independence of Cameroon?,8,9,874.3243217468262,3
Canada,What is the year of independence of Canada?,8,9,872.2958564758301,3
Chad,What is the year of independence of Chad?,8,9,869.5039749145508,3
Chile,What is the year of independence of Chile?,8,9,869.4162368774414,3
China,What is the year of independence of China?,8,9,862.924337387085,3
Colombia,What is the year of independence of Colombia?,8,9,865.1959896087646,3
Croatia,What is the year of independence of Croatia?,8,9,861.696720123291,3
Cuba,What is the year of independence of Cuba?,8,9,862.5307083129883,3
